Fid;NAME;PROVINCIA;LOCALITA;ALTITUDINE;NOME_SCIENTIFICO;NOME_VOLGARE;ALTEZZA;SCHEDA;gx_media_l;LATITUDINE;LONGITUDINE
1;Contrada;Avellino;Sentiero Monte Faliesi - Tre Faggi;780;Fagus sylvatica;Faggio;28;http://agricoltura.regione.campania.it/foreste/monum/scheda_01.html;https://lh3.googleusercontent.com/uh8Er2W--Miok_apoEyhSpvKGH8cdCXLEUTnw1rrhEqY_XDSbc-_IP7tsiji3BP07ExTLiZyyeEW9l7kZYD_zkB46Hw3QchLRUmtsAr0Xp8CoLelo7pYzIuljpY_baoB3g https://lh5.googleusercontent.com/fAb2BYpWeRje-DLVUw3RVK5un-sxDbZalO-enwvb5YoIJ6ICIIFNw-N;40,8761;14,7666
2;Contrada;Avellino;Sentiero Monte Faliesi - Cappella San Michele;875;Quercus cerris;Cerro;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_02.html;https://lh4.googleusercontent.com/Tnz2LHE0AID4L3mqmgiA5U8oODC2bquumPSVqwmqw1cD3-hzwcoXCkdonZUbrohfWMkIy00Vd8hODhTuKwg_fSTiCQ0Ye5A2cb-4GmdhLpCrqFAz3RwQF3QQexqGKWO7BA https://lh3.googleusercontent.com/epJJSgmrWUPTKroFZrxfocVGTE39zuV_vZHNaOMAaxZ1vZF0tACbxwL;40,8747;14,7666
3;Forino;Avellino;Via Largo Ponte;425;Platanus acerifolia;Platano comune;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_03.html;https://lh5.googleusercontent.com/NrOUTFFedT4PVcqpWEGqBk7x64xI9ckw7VKFF7m9xA-uj3wxxcmUxDOQGSBuTWtuUpKFSMl_5YHyGZP2TO6PbeNTs9S9B8nvlIYX96KMZiYESq5LQHtcDUzMN7fY6ypl;40,8613;14,7333
4;Forino;Avellino;Collegiata della Santissima Annunziata;400;Tilia vulgaris;Tiglio intermedio;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_04.html;https://lh4.googleusercontent.com/mf-SVD-EcMLYvwe_0tBzJYcNYnhQmGVUI-0ntVzT7Q-YsQMiPddvoDJWytnKa6ijE1ODi-ULIUre1zDB3gkmOCgGiUeAroq04H6kuVF5N_AWuRCFPB12VW41I5zm9c82;40,8611;14,7497
5;Forino;Avellino;Petruro di Forino;435;Tilia vulgaris;Tiglio intermedio;32;http://agricoltura.regione.campania.it/foreste/monum/scheda_05.html;https://lh6.googleusercontent.com/UNaU812RcGRWe3p6dBltCffM_Ulnwlc6XL3kndF5lrU0JehO3JPa6BmZ-xBA6sUWLdIDI0g5Kps5rvYxKWvyJN_5KgqDc8x-D5evKvrJFB3lbBVh8HcrPcVuOFM3nSc;40,8666;14,7527
6;Manocalzati;Avellino;San Barbato - Castello;450;Tilia cordata;Tiglio selvatico;6;http://agricoltura.regione.campania.it/foreste/monum/scheda_06.html;https://lh3.googleusercontent.com/FzxLG5DR8P1uyI0HlOmpPSrASEBWqPTJxC7--_WcM-ujQ-kPn3o3vDpnoSZhbhNM5JFd_aWIniLRDoIPPGye1RfUPElD_c-V5X1vSif6-hvDPEfOSBKZiBiwlF2sX0Ly;40,9508;14,8475
7;Rocca San Felice;Avellino;Piazza San Felice;750;Tilia cordata;Tiglio selvatico;10;http://agricoltura.regione.campania.it/foreste/monum/scheda_07.html;https://lh5.googleusercontent.com/JsHpcfBCkr3o_bFYdfpZnJYVRBaeIN0qGfDjgxdQoQNFSldpxQKEpjluJev9EB5cm9Qy7ymJHyRwZci5kIskHFTyyEreqxPcx8huae7Z3NCmRfcN-GlbFkNZKAErBfmO https://lh5.googleusercontent.com/hA8hDk0YlFtRLZzFcWbfYD-yz_3_jU2XE08963NrwPunqVPzs6-RrEY8J;40,95;15,1666
8;Tufo;Avellino;Lo Raio;230;Platanus occidentalis;Platano occidentale;40;http://agricoltura.regione.campania.it/foreste/monum/scheda_08.html;https://lh3.googleusercontent.com/84h-hArHSvBZzXZkg3gqylMx9bqKQt3Sa7YHEZwtKUvoimqoCSFqpJGEtp3tQugUqd9oBEeTipN9lIHWrSDPt6yagAGhA12uNOEvYsjtbQqjl7z03jFwJrUvgq-xClgg;41,0125;14,8127
9;San Bartolomeo in Galdo;Benevento;Contrada Solfatara;643;Fraxinus excelsior;Frassino maggiore;19;http://agricoltura.regione.campania.it/foreste/monum/scheda_09.html;https://lh5.googleusercontent.com/SkpLbDp9s_rM_OhNyNFZ8d1WgXjruP4hluS2Zi2bj6wNJyerFR8hOpHiEqYBKlLGGKh84mrhaYI_3RXNJAs7UlFqd0Vm5ojs_Z2yfRS3iV2u1YVHOiwyLgNahzbOssY-qQ;41,4282;15,0719
10;Caserta - San Leucio;Caserta;S.Leucio;145;Platanus acerifolia;Platano comune;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_10.html;https://lh5.googleusercontent.com/eEscwwPhZDz-ouZWC3n0k6Kc4LD5J2KU-o81RzcGWJp4hJIGRd9e4uhkLkie45nljWakU2qdNe8fq9hhNfJuxl9z272ECpqCKN_-wUFI5mJ06PYlTEDc20xacfNEa3Q https://lh4.googleusercontent.com/mtmKgm4Mr75wMdgSaE8C9v0vSGOljqFvaM8sNKBQ5NLH-jal6P8dz7f2YU;41,0983;14,3158
11;Caserta - loc. Briano;Caserta;Briano;145;Platanus acerifolia;Platano comune;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_11.html;https://lh6.googleusercontent.com/7OCUDocXH7yRA45UEs4KfPSd7QRjc9h6CjnTH1tW5fMhmTUNBLlRzh0n-HOn4z0rGcQNCtz4QLOj8Z-LT56oJcOMXz-XUAc4roQbPPDmY8WBME56qxqBu1TF6v3MjY1f;41,1575;14,5394
12;Caserta - loc. Casola;Caserta;Casola;360;Tilia cordata;Tiglio selvatico;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_12.html;https://lh6.googleusercontent.com/angPMI0RMKyCcUPXp1Po9ewzpV-TNmB6gNA6xR5Y50Wp0g6L-euVn4Wy1AIOCQz5pH4pn03YFeoNfajOWMNuEnOA2WbQR-g7Bget2sfRVwE8Jn9D4Lum6wJOdgi_RcIl https://lh5.googleusercontent.com/iB32NlrFHv_njKQKJNGDWnAQTKPtLW38W28sIjJ_ewVACPf4FLAw7Jw8g;41,1608;14,6425
13;Caserta - cimitero;Caserta;Cimitero;68;Cinnamomun camphora;Albero della canfora;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_13.html;https://lh3.googleusercontent.com/hnBYfiYLnixqgtUJEG13zLme6DUNbIBLXAareu3H9Od3yptrLSTPtIHxvCXhsJUvJZHlm1a8kn4x6Fz-q09O-uIcTbSHKMDoeJuU5IsaHPPzRyUOdixohgdlHHGXHy_c5w;41,0891;14,3413
14;Caserta - cimitero;Caserta;Cimitero;68;Cedrus libani;Cedro del Libano;30;http://agricoltura.regione.campania.it/foreste/monum/scheda_14.html;https://lh4.googleusercontent.com/i4mqN4MBvyGgkJbJoNTuyP5v_Yybvxh0RqqCc3-4Eoyp4tAkQc2PCJ3E10j8qQ4waeKdeqDKUknFgmwYOaicnPcVBkGpc1Gk1SwoqOtTvGBtZG-M2tbFt2sULg--vej6;41,0891;14,3411
15;Cicciano;Napoli;Via Sandro Pertini, 58;50;Olea europaea;Olivo;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_15.html;https://lh5.googleusercontent.com/qkc-sn73z1dEzJQdrgA9JTY2uY_vy-1QiNsQ5Pdy20RjJwqRBG-Akl4iOgAOc5HXYzcV6_0sGBytNA17IqbXGh1AcZV3jN5eP4eKZr2RT1qFAeoPGdfogipYLlSwhcz6;40,9694;14,5375
16;Napoli - porto;Napoli;Porto;2;Platanus acerifolia;Platano comune;30;http://agricoltura.regione.campania.it/foreste/monum/scheda_16.html;https://lh3.googleusercontent.com/VVfJxGXoUZuDVqFQI2KVrcDKcK7Z-8fr7bo3SQmchpFvs3LYrkD8UhoTEj5xQokzTsrt3GWWWzK5SY1MTy8suXKGFEXl3HrURgrhIB4uRFWLB6nfYhNLG3P89oplR4-onQ;40,8347;14,2513
17;Napoli - Avvocata;Napoli;Quartiere Avvocata;50;Cedrus libani;Cedro del Libano;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_17.html;https://lh6.googleusercontent.com/rBHhfOyzyXUCnWia3e3-59ppA3bvvtNZJ1Hi-LjGLr6FouSkeMzjCenr-2cBJJXmI4dmZU3GKPWwixL54TJ0RdZd1q_hlbKSHD4o3-S4ljfqvyHFd24N8CL5cWPegJf0 https://lh6.googleusercontent.com/Ibui8MAmMKWHcI4v-oRajnMhXJM_1-bDdhxDjNZH_3fCqz5lgig9Dcp5B;40,8491;14,2477
18;Napoli - piazza Vittoria;Napoli;Chiaia - Piazza Vittoria;2;Eucalyptus camaldulensis;Eucalitto rostrato;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_18.html;https://lh3.googleusercontent.com/HF1W2Ht07Ru-mrRK8S_d0SMSc4EJpZ6Dp4GNY23A51ko0Zb-NlKnBvkrpZkoXX2AbhVIWGDISsBiuzqqi-qZ0EZJYMJIhQwSOhChWrvl-jv7HKNdSFrV5qPS6S53LbrmhA https://lh4.googleusercontent.com/JucIGELcGV-f6dT45k-JOj7kAweVWmc-W_FsDAzfkQxwsDuNsm6U20j;40,8333;14,2352
19;Napoli - piazza Vittoria;Napoli;Chiaia - Piazza Vittoria;2;Jubaea chilensis;Palma gigante del Cile;16;http://agricoltura.regione.campania.it/foreste/monum/scheda_19.html;https://lh6.googleusercontent.com/iZnlyLkOYaC2IJ8g6PIPB2PYo0KfJNXrudeOaqec55XBOacQk-UPEw9QgnFwMMQN71auqhlpnt9lRbIuz9L1QlTkNeyyWhJ_4YapOulaDBchZalrdFf4ULd-BtfYJ9n9;40,8333;14,2336
20;Napoli - piazza Vittoria;Napoli;Chiaia - Piazza Vittoria;3;Platanus orientalis;Platano orientale;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_20.html;https://lh3.googleusercontent.com/oWy58uX4_aOQ-rwgMhrsVK1zOQ_pfBcKjgxTcNBcGUCZE5FUhcen-AblyJ4gs7llStyIvYvzn_0S--Gdor3ro7d8U8JstDEbfr3875FSi_klPbQW4PIEQt_8aXj9Csugsg;40,8333;14,238
21;Napoli - piazza Vittoria;Napoli;Chiaia - Piazza Vittoria;2;Platanus orientalis;Platano orientale;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_21.html;https://lh5.googleusercontent.com/X6NJfkJixbvwzsJNau31g0w7fjuCEfXHtzeV_x1RPCCvQxMnm2wOsKRiIFau_MyNkn2GzljIBnBPRPnd9Fe5NDRNnQ_eeeYzsc5QW5W6dvMb5AAQ_rzaTQ2GSFQkltRK;40,833;14,2375
22;Napoli - piazza Vittoria;Napoli;Chiaia - Piazza Vittoria;2;Platanus orientalis;Platano orientale;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_22.html;https://lh6.googleusercontent.com/C4zVPYqnmkNJ41PK8mT08iKCQo9LsuGbYRDuKBSc5k20boYeSTI9vm5903Ex0J8YWBPIJjDMXejjVHWXHBdDbAFrzi1TJiIL0tB0j74jfcI4lpcQW-8IMHTUyAzYkdkJvQ;40,833;14,2372
23;Napoli - Capodimonte;Napoli;Capodimonte - Giardini della Principessa Jolanda;150;Cedrus libani;Cedro del Libano;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_23.html;https://lh5.googleusercontent.com/Hj4FvPgm9zSQkoW1cGewXXO7JmagJa5_5qNLbHEG8-XbzHWR0t2fEhvvC1L6sekCcOTn2EDzEcrs0iLHP4i3cYpQ-WsyhPIXbpD2Zw3QX3Q1yt_qZOdBDpr0LUuwpsP4Ww;40,8666;14,248
24;Napoli - Capodimonte;Napoli;Capodimonte - Giardini della Principessa Jolanda;150;Cinnamomun camphora;Albero della canfora;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_24.html;https://lh3.googleusercontent.com/QozTHLEOQ-YhAbzHB_McJdcG_wWcb6hyc7urDKs1T9vK78rSWOUQlWAmYPPlH9vucoAdqMsrfL7sWHpaGUswe0JlQJc1YA6DijKLINYA26Id29C2onD08g59yX7-f7U7ig;40,8669;14,248
25;Napoli - Capodimonte;Napoli;Capodimonte - Giardini della Principessa Jolanda;150;Platanus orientalis;Platano orientale;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_25.html;https://lh5.googleusercontent.com/9JQIHbYykvzZlHZf30J5WC7eVpBeyRD4-8yuuYJGm3TqXi0jieHMYqppkySqvK4ajnzcMgjsUAZtHVr3GVNz9kwFm63JPpfFPvMiSe-W8Vd1UddXSiM7J2_6w8tobf-6PA;40,8666;14,2483
26;Napoli - Miano;Napoli;Miano - Via del Cimitero, 1;150;Cinnamomun camphora;Albero della canfora;30;http://agricoltura.regione.campania.it/foreste/monum/scheda_26.html;https://lh6.googleusercontent.com/CwsiFVUC85HbrBifjZjNIG2Lm1hEcaaMBt5XJgHiywqnYAwNy2bYcBczIFNL_HjSinmO809jBlQQEylwnhEsn-lRSPzSIf-_-AwDYrWgAklZ0bUf-WHKQkz9rd0qRsKs;40,8891;14,2555
27;Napoli - Secondigliano;Napoli;Secondigliano - Via Provinciale di Caserta, 92;100;Platanus orientalis;Platano orientale;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_27.html;https://lh4.googleusercontent.com/Rd3yfXZ3Anm-72OAwxe1PySVqXRO7XGVo2Gwqs_gC_BbV22s71KlxBY8RIYP7OgO3152rJBtt5slUiyguRBKYNfd15sKx1aSSPtbOJ44qvBdNAiOD8uPouuKAeAVdNBhaw;40,8897;14,278
28;Napoli - piazza Cavour;Napoli;Giardino di Piazza Cavour;50;Podocarpus macrophyllus;Podocarpo;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_28.html;https://lh4.googleusercontent.com/k6nHxo0LtBIQ_-_Y6Y1a_M7hyuK9yYBdup7F1Zho5XW0Tuxn-VK9m_mBeFYOIG2IiDaKkJAgpI5-vfmas4Tw4eJhzQ7OrpKiFFrIjps0TK8s2dcXoYZrowtSK6buUV_S_w;40,8555;14,2547
29;Piano di Sorrento;Napoli;Ripa di Cassano;60;Pinus pinea;Pino domestico;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_29.html;https://lh6.googleusercontent.com/Rc32oXMghA3hp_bSbgql0jZ16NGj6SSW28w0oZDnAIbbhf6UPI45QABgZcN-ASkpl6R6LhPXUvR-LjNFcFQOxW2-FteF58W7T8F-qZxqUtlBIgI8nChk4L_AEhCLo-Kd;40,6372;14,4016
30;Striano;Napoli;Piazza D'Anna;23;Platanus orientalis L.;Platano orientale;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_30.html;https://lh5.googleusercontent.com/hDr9GxuABsE_MQ9gxcEdAEDafY3PsruXApAJzQxaZLN1eDtRvgRCwWsnBQ6PCJdkWJiPBJM79U1I_N_ejbyOVIRP5uWJnFJIHiwWABHgE1IL1SzGaIXiTGNTfaWjeMw;40,8138;14,5725
31;Cava de' Tirreni;Salerno;Villa Rende;200;Platanus orientalis;Platano orientale;8;http://agricoltura.regione.campania.it/foreste/monum/scheda_31.html;https://lh4.googleusercontent.com/18UztCa9mUcIkE8kP4Ok19e1sKrXHSOBXDjTaXiEFRCLiuTmukPhLps6wxi95tWTF9mCyUhSogdDpe51bE-rfOKTsJ1iWvNmsYFKbVb0suLfVQABetJo3tgAIsVeqsQ;40,6991;14,7033
32;Cava de' Tirreni;Salerno;Villa Rende;217;Sophora japonica;Sofora;5;http://agricoltura.regione.campania.it/foreste/monum/scheda_32.html;https://lh3.googleusercontent.com/VwOmQO4ZmnyPou28lqwz9l_O46Uw51FfobYfJGkz4bP1vj5PJdzMlFh7L_aT2MnJQ9VEGe3-1G0zuoAX5LORzPApmPtdmjMAw0Gkvj4lRNOFavBs3a9nnsYxi7EhcH7rPw;40,6961;14,7038
