Fid;NAME;PROVINCIA;LOCALITA;ALTITUDINE;NOME_SCIENTIFICO;NOME_VOLGARE;ALTEZZA;SCHEDA;gx_media_l;LATITUDINE;LONGITUDINE
56;Pompei;Napoli;Zona archeologica;15;Platanus orientalis;Platano;35;http://agricoltura.regione.campania.it/foreste/monum/scheda_54.html;https://lh6.googleusercontent.com/eDE9u0MenwTgj6RyIbmgNMyYfoieLovasa460FtMBY_7ubdxy5Jm0sEYWMaIPt9sUp8UoT-Yr_xxDar9wpl4yRpPfEdSKJtcNoIEIBAXApnQ254Sd4V_bduqQGEJpJYg;40,7472;14,4898
57;Aiello del Sabato;Avellino;Centro Urbano;412;Quercus robur;Quercia;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_55.html;https://lh6.googleusercontent.com/jbYJAdG7nMthW3l21hCwpMSCtiWataztiPmYFTTnLqfskQPnzt19-VmLLUpBSVc0kjNUC32qHMkufOUOuthp39PjYQa1ApAsZvKGc0TCvlVg3Qlf8cCS-hdvKOmYFmfv;40,8889;14,8205
58;Aiello del Sabato;Avellino;Castagno Grosso;450;Castanea sativa;Castagno;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_56.html;https://lh4.googleusercontent.com/OGVbnlIJMeo4qZsxdUzY_boOhR778MO-leqhyML2MpJA2LMOT_FKbTQVbrWKlok_DQwexrqKLl-wfRBYhTVMw_31V8-8XbFHnmPl8WbbDWugoIU4Xpqb1gM_nL1OC4U;40,8856;14,8146
59;Aiello del Sabato;Avellino;Centro Urbano;412;Platanus occidentalis;Platano;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_57.html;https://lh6.googleusercontent.com/1IEfdWpmrBNyQXqL0jHI4pA5a-3ax5or7RKpDoMkVN0yOwtEwVZ07t2RYEryf3VjCoUujARGrbpF8wOhIhL_jGg4Rk5SVNoI7wP0Du2BXyH8wEWm_1R5jmJrx_K230pX;40,8849;14,8193
60;Aiello del Sabato;Avellino;Via Fontana;412;Carpinus betulus;Carpino;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_58.html;https://lh4.googleusercontent.com/OXbifld0uVH9-2oR2sSv8FEI9P6pJKzkJ3uZAycAETaTYK-ew_TTcXLbsKVGDX6xqw53CVdW7brD0jV9slWxSHymtQG4G6tknj9XPuOzIxx8w-b5qW6ns7-gPJMdM_zy;40,8889;14,8233
61;Aiello del Sabato;Avellino;Contrada Carpino;398;Quercus pubescens;Roverella;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_59.html;https://lh3.googleusercontent.com/D_w-MXXApUxL9E9MgRF9dhgl7fE9HWLQvE3fIRNn8d6w_RVkA5sofSo_DAGuEyTvaYB6LdDIYRPZz9XfGueVVqJcH38k7prppyzNXpokjdYUvXbzG-QhV4iCEyfOjpvhwA;40,8885;14,8166
62;Aquilonia;Avellino;San Vito;650;Quercus pubescens;Roverella;16;http://agricoltura.regione.campania.it/foreste/monum/scheda_60.html;https://lh3.googleusercontent.com/n4oBxl0Z6q6YlFWYAYJknJNpmON64FTQRmQK8SbLHMoTzaogRCx_NUYRw87pClSz-8mIs0kF7t33_oiDwThYFaP9e3C9Bx_dRNa9xE6RuwP_1Um54vOQ9LcL3zFEyLg;40,993;15,4711
63;Castellammare di Stabia;Napoli;Porto;5;Quercus ilex;Leccio;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_61.html;https://lh3.googleusercontent.com/4z-BnUIH5TQGnQ9_sOPSr7p1Vm7FMe4JWM7As1YTYtiymlL6nJW0W7_qpXjkCUptff4giWP_ktQV24bTG0lNcSu89S4MEmSK80K-BG3r_PryyUORDFOuyHan8zICl_U;40,6908;14,4727
64;Castellammare di Stabia;Napoli;Quisisana;211;Pinus halepensis;Pino di Aleppo;22;http://agricoltura.regione.campania.it/foreste/monum/scheda_62.html;https://lh6.googleusercontent.com/fmDirqHcI6__B9DCXWzwL3yj8pNwgyWMyTqMRRKNaEWu8cYFAC8GF_c6Ox_aDHPD93XVkdXLOeTkdhFBOfp5CjMhaqtMbJvdc91ojdc6sNCTPpVo9lprrAWcgPvHV70;40,6841;14,4888
65;Castellammare di Stabia;Napoli;Quisisana;211;Taxux baccata;Tasso;8;http://agricoltura.regione.campania.it/foreste/monum/scheda_63.html;https://lh5.googleusercontent.com/fc27gqVXtV1WasFYosqQIfHDUUgOHRC5KvycwUdiV8zoCrsgWM3oQ77CV5eWtVv_W4Qjlawv9ZU2q_VyEVoZz2eypgGpvv2tshnSrGz_Oq-dK9pzCLKUyPTCpAOVuH1Q;40,6841;14,4891
